Date,Open,High,Low,Close,Volume,Market Cap
12-Jun-21,"$2,354.75 ","$2,447.23 ","$2,265.76 ","$2,372.48 ","$25,724,364,410 ","$275,838,937,027 "
13-Jun-21,"$2,372.69 ","$2,547.37 ","$2,312.64 ","$2,508.39 ","$27,092,945,370 ","$291,673,894,435 "
14-Jun-21,"$2,508.77 ","$2,606.43 ","$2,469.39 ","$2,537.89 ","$26,964,576,331 ","$295,112,636,978 "
15-Jun-21,"$2,587.76 ","$2,639.23 ","$2,515.15 ","$2,610.94 ","$29,005,279,219 ","$303,650,794,388 "
16-Jun-21,"$2,544.86 ","$2,554.63 ","$2,354.35 ","$2,367.66 ","$24,101,926,180 ","$275,405,856,979 "
17-Jun-21,"$2,367.31 ","$2,457.18 ","$2,312.30 ","$2,372.00 ","$21,871,633,186 ","$275,942,664,677 "
18-Jun-21,"$2,374.59 ","$2,377.20 ","$2,147.31 ","$2,231.73 ","$22,752,818,388 ","$259,654,503,060 "
19-Jun-21,"$2,235.16 ","$2,278.41 ","$2,168.88 ","$2,178.50 ","$18,765,854,896 ","$253,490,067,194 "
20-Jun-21,"$2,171.34 ","$2,275.38 ","$2,049.96 ","$2,246.36 ","$22,535,930,423 ","$261,416,943,134 "
21-Jun-21,"$2,245.32 ","$2,259.46 ","$1,867.19 ","$1,888.45 ","$33,745,173,825 ","$219,790,202,020 "
22-Jun-21,"$1,886.67 ","$1,993.16 ","$1,707.60 ","$1,874.95 ","$35,547,251,725 ","$218,244,605,870 "
23-Jun-21,"$1,878.63 ","$2,043.53 ","$1,827.57 ","$1,989.74 ","$28,408,659,206 ","$231,625,292,667 "
24-Jun-21,"$1,968.96 ","$2,032.34 ","$1,887.43 ","$1,988.46 ","$20,272,845,769 ","$231,509,317,649 "
25-Jun-21,"$1,989.22 ","$2,017.76 ","$1,794.40 ","$1,813.22 ","$22,774,334,998 ","$211,131,091,602 "
26-Jun-21,"$1,810.88 ","$1,850.18 ","$1,719.56 ","$1,829.24 ","$20,637,542,361 ","$213,021,180,909 "
27-Jun-21,"$1,831.00 ","$1,979.96 ","$1,811.25 ","$1,978.89 ","$19,885,474,742 ","$230,473,556,118 "
28-Jun-21,"$1,981.39 ","$2,139.81 ","$1,963.62 ","$2,079.66 ","$25,514,602,841 ","$242,239,400,958 "
29-Jun-21,"$2,083.45 ","$2,242.24 ","$2,076.24 ","$2,160.77 ","$24,815,124,419 ","$251,715,870,101 "
30-Jun-21,"$2,164.22 ","$2,282.99 ","$2,090.76 ","$2,274.55 ","$25,828,056,268 ","$265,001,225,921 "
01-Jul-21,"$2,274.40 ","$2,274.40 ","$2,081.08 ","$2,113.61 ","$29,061,701,793 ","$246,278,235,669 "
02-Jul-21,"$2,109.89 ","$2,155.60 ","$2,021.82 ","$2,150.04 ","$31,796,212,554 ","$250,552,745,326 "
03-Jul-21,"$2,150.84 ","$2,237.57 ","$2,117.59 ","$2,226.11 ","$17,433,361,641 ","$259,447,545,608 "
04-Jul-21,"$2,226.55 ","$2,384.29 ","$2,190.84 ","$2,321.72 ","$18,787,107,473 ","$270,621,669,241 "
05-Jul-21,"$2,321.92 ","$2,321.92 ","$2,163.04 ","$2,198.58 ","$20,103,794,829 ","$256,297,846,064 "
06-Jul-21,"$2,197.92 ","$2,346.29 ","$2,197.92 ","$2,324.68 ","$20,891,861,314 ","$271,028,619,181 "
07-Jul-21,"$2,323.21 ","$2,403.77 ","$2,298.03 ","$2,315.16 ","$22,398,345,285 ","$269,950,094,549 "
08-Jul-21,"$2,317.95 ","$2,324.01 ","$2,089.41 ","$2,120.03 ","$23,188,123,689 ","$247,225,603,542 "
09-Jul-21,"$2,115.57 ","$2,185.38 ","$2,051.07 ","$2,146.69 ","$23,029,574,602 ","$250,363,856,991 "
10-Jul-21,"$2,147.00 ","$2,190.12 ","$2,081.92 ","$2,111.40 ","$17,581,542,471 ","$246,276,605,890 "
